"SKU","Product Name","Category","Material","Finish","Application","MOQ","Price","Local Image Path","WooCommerce Image Note"
"ABS-ZIP-006","Zippers 06","Zipper","Metal / nylon / resin / alloy puller","Gold, nickel, antique brass, matte black","Handbags, luggage, wallets, backpacks and apparel","1000 sets","Request Quote","assets/catalog/Zipper/Zipper (6).jpg","Upload image to WordPress media library before final import"
"ABS-ZIP-007","Zippers 07","Zipper","Metal / nylon / resin / alloy puller","Gold, nickel, antique brass, matte black","Handbags, luggage, wallets, backpacks and apparel","1000 sets","Request Quote","assets/catalog/Zipper/Zipper (7).jpg","Upload image to WordPress media library before final import"
"ABS-ZIP-008","Zippers 08","Zipper","Metal / nylon / resin / alloy puller","Gold, nickel, antique brass, matte black","Handbags, luggage, wallets, backpacks and apparel","1000 sets","Request Quote","assets/catalog/Zipper/Zipper (8).jpg","Upload image to WordPress media library before final import"
"ABS-ZIP-009","Zippers 09","Zipper","Metal / nylon / resin / alloy puller","Gold, nickel, antique brass, matte black","Handbags, luggage, wallets, backpacks and apparel","1000 sets","Request Quote","assets/catalog/Zipper/Zipper (9).jpg","Upload image to WordPress media library before final import"
"ABS-ZIP-010","Zippers 10","Zipper","Metal / nylon / resin / alloy puller","Gold, nickel, antique brass, matte black","Handbags, luggage, wallets, backpacks and apparel","1000 sets","Request Quote","assets/catalog/Zipper/Zipper (10).jpg","Upload image to WordPress media library before final import"
"ABS-ZIP-011","Zippers 11","Zipper","Metal / nylon / resin / alloy puller","Gold, nickel, antique brass, matte black","Handbags, luggage, wallets, backpacks and apparel","1000 sets","Request Quote","assets/catalog/Zipper/Zipper (11).jpg","Upload image to WordPress media library before final import"
"ABS-ZIP-012","Zippers 12","Zipper","Metal / nylon / resin / alloy puller","Gold, nickel, antique brass, matte black","Handbags, luggage, wallets, backpacks and apparel","1000 sets","Request Quote","assets/catalog/Zipper/Zipper (12).jpg","Upload image to WordPress media library before final import"
"ABS-ZIP-013","Zippers 13","Zipper","Metal / nylon / resin / alloy puller","Gold, nickel, antique brass, matte black","Handbags, luggage, wallets, backpacks and apparel","1000 sets","Request Quote","assets/catalog/Zipper/Zipper (13).jpg","Upload image to WordPress media library before final import"
"ABS-ZIP-014","Zippers 14","Zipper","Metal / nylon / resin / alloy puller","Gold, nickel, antique brass, matte black","Handbags, luggage, wallets, backpacks and apparel","1000 sets","Request Quote","assets/catalog/Zipper/Zipper (14).jpg","Upload image to WordPress media library before final import"
"ABS-ZIP-015","Zippers 15","Zipper","Metal / nylon / resin / alloy puller","Gold, nickel, antique brass, matte black","Handbags, luggage, wallets, backpacks and apparel","1000 sets","Request Quote","assets/catalog/Zipper/Zipper (15).jpg","Upload image to WordPress media library before final import"
"ABS-ZIP-016","Zippers 16","Zipper","Metal / nylon / resin / alloy puller","Gold, nickel, antique brass, matte black","Handbags, luggage, wallets, backpacks and apparel","1000 sets","Request Quote","assets/catalog/Zipper/Zipper (16).jpg","Upload image to WordPress media library before final import"
"ABS-ZIP-017","Zippers 17","Zipper","Metal / nylon / resin / alloy puller","Gold, nickel, antique brass, matte black","Handbags, luggage, wallets, backpacks and apparel","1000 sets","Request Quote","assets/catalog/Zipper/Zipper (17).jpg","Upload image to WordPress media library before final import"
"ABS-ZIP-018","Zippers 18","Zipper","Metal / nylon / resin / alloy puller","Gold, nickel, antique brass, matte black","Handbags, luggage, wallets, backpacks and apparel","1000 sets","Request Quote","assets/catalog/Zipper/Zipper (18).jpg","Upload image to WordPress media library before final import"
"ABS-ZIP-019","Zippers 19","Zipper","Metal / nylon / resin / alloy puller","Gold, nickel, antique brass, matte black","Handbags, luggage, wallets, backpacks and apparel","1000 sets","Request Quote","assets/catalog/Zipper/Zipper (19).jpg","Upload image to WordPress media library before final import"
"ABS-ZIP-020","Zippers 20","Zipper","Metal / nylon / resin / alloy puller","Gold, nickel, antique brass, matte black","Handbags, luggage, wallets, backpacks and apparel","1000 sets","Request Quote","assets/catalog/Zipper/Zipper (20).jpg","Upload image to WordPress media library before final import"
